,Item,Score,Target,administrativeClassification.administrativeClassification,budgetPhase.prefLabel,economicClassification.prefLabel,functionalClassification.prefLabel
0,96,17564.756847585515,3000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Draft,????????? ?????? ????????????,????????? ?????? ???????????? ?' ???. ?????????
1,97,17564.756847585515,3000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Revised,????????? ?????? ????????????,????????? ?????? ???????????? ?' ???. ?????????
2,45,10603.503278154507,2265.39,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????
3,47,10603.503278154507,2265.39,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Executed,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????
4,54,3.1009356761581253,7489.44,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????? ?????? ?????????????? & ????????
5,55,3.1009356761581253,7489.44,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Executed,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????? ?????? ?????????????? & ????????
6,43,2.863997628963309,7000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Draft,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????
7,44,2.863997628963309,7000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Revised,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????
8,17,2.3214716917120737,820000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Draft,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ??????
9,18,2.3214716917120737,820000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Revised,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ??????
10,19,2.2362847716621403,725753.09,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ??????
11,20,2.2362847716621403,725753.09,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Executed,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ??????
12,28,1.8454349096373261,31544.97,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????? ?????? ?????? ?????????
13,29,1.8454349096373261,31544.97,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Executed,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????? ?????? ?????? ?????????
14,8,1.6909343355093505,13047000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Draft,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ???
15,9,1.6909343355093505,13047000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Revised,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ???
16,15,1.6641471722526626,14061.67,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????
17,16,1.6641471722526626,14061.67,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Executed,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ????
18,48,1.5491162036366208,165000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Draft,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ?.?.?.
19,49,1.5491162036366208,165000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Revised,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ?.?.?.
20,10,1.5474255294693815,10729261.88,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ???
21,11,1.5474255294693815,10729261.88,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Executed,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ???
22,21,1.4466360208791702,6012000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Draft,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ?????
23,22,1.4466360208791702,6012000.0,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Revised,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ?????
24,32,1.4097631612669108,2448478.21,http://data.openbudgets.eu/resource/codelist/kae-ota-administration-2014/100,Approved,???????? ?? ????????????? ??????????? ??? ??????,???????? ?? ?????
